Code,Group,Family,Species,P50,KS,AL/ AS,D,WD,Height,?,MAT,MAP,VPD,MI,TS,PS,MTCM,PDM,Latitude,Longitude,References,Location,Country
1711 ,Ang,Fabaceae,Acacia aneura,,,0.15 ,,0.74 ,,3.12500002,23.21 ,277.00 ,2.526789455,0.1695,589.9941601,61.72656309,6.611999989,7,21°54'S,133°51'E,"O'Grady, 2009, Oecologia",,Australian
826 ,Ang,Fabaceae,Acacia colletioides,,,0.14 ,24.71 ,0.85 ,2.00 ,2.758333325,17.54 ,410.00 ,1.496945786,0.2873,613.9776951,14.54176838,1.675999999,26,32°58' S,146°10' E,"Gleason, 2012, Functional Ecology",,Australia
1807 ,Ang,Fabaceae,Acacia constricta,,2.71 ,,37.67 ,,,3.041666667,18.41 ,391.00 ,1.813401252,0.2265,703.9524282,77.36163668,-0.032000002,5,32°01' N,110°37' W,"Pockman & Sperry, 2000, American Journal of Botany","Pima County, Arizona",USA
810 ,Ang,Fabaceae,Acacia crassicarpa,,8.65 ,1.79 ,49.70 ,0.51 ,19.00 ,4.891666691,23.63 ,2084.00 ,0.865874479,1.3729,289.0695581,88.38712088,14.96000004,29,18°24' S,146°6' E,"Gleason, 2012, Functional Ecology",Queensland,Australia
592 ,Ang,Fabaceae,Acacia cyclops,-0.91 ,,,,,,5.316666683,17.87 ,895.00 ,NA,0.6646,378.3196176,84.7563848,8.527999878,12,32°90' S,115°69' E,"Drake, 2006,  PhD Thesis, Edith Cowan University, Perth.",Western Australia,Australia
832 ,Ang,Fabaceae,Acacia dealbata,,2.14 ,1.22 ,30.16 ,0.67 ,,4.083333333,10.05 ,640.00 ,0.468981124,0.5986,365.5327037,17.11005639,-0.815999985,37,42°23' S,147°03' E,"Gleason, 2012, Functional Ecology",Tasmanian Central Highland forests,Australia
847 ,Ang,Fabaceae,Acacia dealbata,,3.25 ,,42.46 ,0.45 ,8.00 ,5.108333309,10.74 ,951.00 ,0.428962839,1.0454,288.3112936,17.90963242,2.263999939,58,42°59' S,147°11' E,"Gleason, 2012, Functional Ecology",Tasmanian,Australia
811 ,Ang,Fabaceae,Acacia flavescens,,9.38 ,1.00 ,41.73 ,0.64 ,,4.891666691,23.63 ,2084.00 ,0.865874479,1.3729,289.0695581,88.38712088,14.96000004,29,18°24' S,146°6' E,"Gleason, 2012, Functional Ecology",Queensland,Australia
895 ,Ang,Fabaceae,Acacia flavescens,,5.78 ,0.70 ,28.80 ,0.76 ,15.00 ,3.433333337,20.90 ,1400.00 ,1.018901775,0.7223,326.6472719,92.01642804,9.711999893,18,18°18' S,145°30' E,"Gleason, 2012, Functional Ecology; Blackman, 2014, Annals of Botany; Blackman, 2018, Annals of Botany","Einasleigh, northern queensland",Australia
1153 ,Ang,Fabaceae,Acacia gerrardi,,0.59 ,,87.00 ,,4.00 ,3.016666691,19.72 ,692.00 ,0.900344312,0.4632,115.555556,73.90494713,12.73600006,11,1°19' S,36°55' E,"Kondoh, 2006, Tree Physiology","Tiva, Kitiui Prefecture",Kenya
1808 ,Ang,Fabaceae,Acacia greggii,-0.88 ,3.88 ,,36.96 ,,,3.041666667,18.41 ,391.00 ,1.813401252,0.2265,703.9524282,77.36163668,-0.032000002,5,32°01' N,110°37' W,"Pockman & Sperry, 2000, American Journal of Botany","Pima County, Arizona",USA
902 ,Ang,Fabaceae,Acacia havilandiorum,,0.86 ,0.14 ,28.41 ,0.91 ,4.00 ,2.758333325,17.54 ,410.00 ,1.496945786,0.2873,613.9776951,14.54176838,1.675999999,26,32°58' S,146°10' E,"Gleason, 2012, Functional Ecology; Blackman, 2014, Annals of Botany; Blackman, 2018, Annals of Botany",New South Wales,Australia
