Code,Group,Family,Species,P50,KS,AL/ AS,D,WD,Height,?,MAT,MAP,VPD,MI,TS,PS,MTCM,PDM,Latitude,Longitude,References,Location,Country
N5,Ang,Polygonaceae,Coccoloba microstachya,,2.62 ,0.53 ,,0.75 ,,3.99999994,26.07 ,939.00 ,NA,0.7402,130.6923339,58.51883815,19.67916679,26,17°58?2.17?N,66°53?17.54?W,"Vargas, 2021, New Phytologist",Guanica,Puerto Rico
1257 ,Ang,Menispermaceae,Cocculus laurifolius,-0.64 ,,,,,,2.99999998,17.07 ,417.00 ,1.296086607,0.3235,471.5872751,94.41524756,3.832000017,1,34°08' N,118°17' W,"Litvak, 2012, Tree Physiology",Southern California,USA
422 ,Ang,Bixaceae,Cochlospermum gillivraei,-1.44 ,7.75 ,0.18 ,104.80 ,0.30 ,6.00 ,2.575000028,23.31 ,714.00 ,1.144954991,0.4046,352.6396327,91.37235966,11.2159996,9,19°11' S,145°45' E,"Choat, 2003, 2005, 2006",Queensland,Australia
1229 ,Ang,Bixaceae,Cochlospermum vitifolium,-1.19 ,,,,0.20 ,,1.950000008,26.56 ,879.00 ,1.02707824,0.5112,59.08015702,114.9634108,20.78000069,2,3°47'S,39°16'W,"Lima, 2018, New Phytologist",northeastern Brazil,Brazil
N30,Ang,Bixaceae,Cochlospermum vitifolium,,,,,0.21 ,,3.533333381,26.60 ,1633.00 ,1.163631518,1.0017,80.14568299,93.82169736,21.43599892,2,10°43?31.39?N,85°35?46.99?W,"Vargas, 2021, New Phytologist",Horizontes,Costa Rica
N77,Ang,Bixaceae,Cochlospermum vitifolium,,2.23 ,1.18 ,,0.23 ,,2.366666665,25.43 ,1087.00 ,1.022873596,0.5479,207.2946945,70.07447924,15.63199997,22,20°5?26.73?N,89°33?47.66?W,"Vargas, 2021, New Phytologist",Kaxil Kiuic,Mexico
3015 ,Ang,Euphorbiaceae,Codiaeum variegatum ,-2.20 ,,,,,,1.225000014,22.42 ,1640.00 ,0.894353661,0.8598,350.4611648,75.65033519,11.8760004,18,21°55'N,101°16'E,"Zhu, 2018, Tree Physiology; Yan, 2020, Biology Letters",Yuanan province,China
1074 ,Ang,Rosaceae,Coleogyne ramosissima,-1.40 ,0.39 ,,18.60 ,0.68 ,1.20 ,3.841666718,17.80 ,125.00 ,1.931995772,0.0829,770.9042762,72.94623604,0.100000001,1,35°20' N,117°59' W,"Jacobsen, 2007b, Plant, Cell and Environment; Jacobsen, 2008, New Phytologist; Hacke, 2009, Plant, Cell and Environment",Southern California,USA
335 ,Ang,Euphorbiaceae,Colliguaja integerrima,-4.39 ,0.37 ,0.11 ,9.30 ,0.58 ,1.05 ,6.283333381,9.38 ,136.00 ,0.64518605,0.1852,473.02423,46.29868929,-2.947999954,4,46°31' S,71°03' W,"Bucci, 2013, Plant, Cell & Environment? Bucci, 2009, Oecologia",northwest Santa Cruz,Argentina
1082 ,Ang,Ericaceae,Comarostaphylis diversifolia,-5.61 ,1.54 ,,21.93 ,0.67 ,,3.633333345,16.29 ,426.00 ,1.125048534,0.4043,426.7080897,99.9189354,5.268000126,1,34°06' N,118°39' W,"Jacobsen, 2007c, Ecological Monographs",Southern California,USA
206 ,Ang,Ericaceae,Comarostaphylis polifolia,-4.00 ,0.67 ,0.39 ,,,,2.074999968,16.95 ,555.00 ,1.307651315,0.3205,188.7757412,87.79243127,8.236000061,7,18°15' N,97°26' W,"Bhaskar, 2007, New Phytologist",Tehuacan Valey,Mexico
3016 ,Ang,Combretaceae,Combretum griffithii,-1.30 ,,,,,,1.225000014,22.42 ,1640.00 ,0.894353661,0.8598,350.4611648,75.65033519,11.8760004,18,21°55'N,101°16'E,"Zhu, 2018, Tree Physiology; Yan, 2020, Biology Letters",Yuanan province,China
2829 ,Ang,Combretaceae,Combretum latifolium,-2.17 ,1.17 ,,,0.54 ,,1.225000004,20.88 ,1683.00 ,0.85605524,1.0122,338.2657063,78.45212263,10.92399979,17,21°36?N,101°35?E,"Zhang, 2019, Tree Physiology",Yunnan province,China
2926 ,Ang,Combretaceae,Combretum latifolium,-1.31 ,3.83 ,0.87 ,212.00 ,0.50 ,,1.450000008,19.61 ,1575.00 ,0.7831742,1.2463,355.3021639,76.07293498,9.543999672,18,21°54'N,101°46'E,"Zhu, 2017, Tree Physiology; Zhu & Cao, 2009, Plant Ecology",Yunnan Province,China
1230 ,Ang,Combretaceae,Combretum leprosum,-4.18 ,,,,0.55 ,,1.950000008,26.56 ,879.00 ,1.02707824,0.5112,59.08015702,114.9634108,20.78000069,2,3°47'S,39°16'W,"Lima, 2018, New Phytologist",northeastern Brazil,Brazil
1499 ,Ang,Combretaceae,Combretum leprosum,,5.38 ,0.89 ,,0.43 ,,2.950000008,24.77 ,1143.00 ,0.998740338,0.6171,167.8732009,62.51391847,16.2159996,16,16°07' S,61°43' W,"Markesteijn et al, 2011a, 2011b","Near Conception, Santa Cruz",Bolivia
1500 ,Ang,Fabaceae,Copaifera chodatiana,-5.70 ,2.77 ,0.37 ,,0.63 ,,2.950000008,24.77 ,1143.00 ,0.998740338,0.6171,167.8732009,62.51391847,16.2159996,16,16°07' S,61°43' W,"Markesteijn et al, 2011a, 2011b","Near Conception, Santa Cruz",Bolivia
241 ,Ang,Rubiaceae,Coprosma nitida,,,,,0.72 ,,5.674999992,6.25 ,1531.00 ,0.387481756,2.0783,305.9782469,21.03196025,-2.220000029,85,42°40'S,146°37'E,"Blackman, 2014, Annals of Botany; Blackman, 2012, Oecologia; Blackman, 2010, New Phytologist",Tasmania,Australia
425 ,Ang,Boraginaceae,Cordia alliodora,-3.60 ,9.56 ,0.76 ,46.46 ,,15.00 ,3.533333341,27.13 ,1881.00 ,1.120002773,1.0285,80.99241975,87.04317805,21.69999886,2,10°21' N,85°21' W,"Choat, 2007, New Phytologist",the Pacific northwest of Costa Rica,Costa Rica
430 ,Ang,Boraginaceae,Cordia alliodora,-1.78 ,8.93 ,0.87 ,48.53 ,,30.00 ,2.175000002,26.04 ,3720.00 ,0.728395121,2.5413,78.89437146,37.30306704,20.89599991,131,10°25' N,84° W,"Choat, 2007, New Phytologist",the Caribbean slopes of Costa Rica,Costa Rica
1608 ,Ang,Boraginaceae,Cordia alliodora,-3.30 ,10.13 ,0.16 ,,0.37 ,,1.916666647,26.94 ,2169.00 ,0.756386424,1.2534,65.14634424,68.85282668,22.84545517,16,9°00'N,79°33'W,"Medina-Vega, 2021, Journal of Ecology",near Panama City,Panama
1635 ,Ang,Boraginaceae,Cordia alliodora,,3.80 ,,58.60 ,0.63 ,,2.533333361,25.07 ,999.00 ,NA,0.4434,207.0734595,111.2129666,17.13199997,2,19°29'N,105°02'W,"Mendez-Alonzo, 2013, Trees-Strucyture and Function",the Pacific coast of Jalisco,Mexico
3115 ,Ang,Boraginaceae,Cordia alliodora,-3.08 ,5.80 ,0.50 ,46.83 ,0.50 ,23.00 ,1.608333349,26.51 ,2440.00 ,0.651162324,1.8771,63.25839735,64.44993932,22.71999931,16,9°10' N,79°51' W,"Zotz, 1994, New Phytologist; Santiago, 2004, Oecologia; Meinzer, 2003, Plant Cell and Environment; Choat, 2007, New Phytologist; Lopez, 2005, Tree Physiology; Tyree, 2005, Journal of Experimental Botany",Barro Colorado Island (BCI),Panama
N31,Ang,Boraginaceae,Cordia alliodora,,,,,0.52 ,,3.533333381,26.60 ,1633.00 ,1.163631518,1.0017,80.14568299,93.82169736,21.43599892,2,10°43?31.39?N,85°35?46.99?W,"Vargas, 2021, New Phytologist",Horizontes,Costa Rica
2383 ,Ang,Boraginaceae,Cordia americana,-1.36 ,0.66 ,1.02 ,,0.73 ,,2.366666635,20.36 ,1765.00 ,0.818603122,1.0864,359.0264792,17.9971639,9.279999733,110,25°37' S,54°20' W,"Villagra, 2012, 2013, Tree Physiology",northern Argentina,Argentina 
426 ,Ang,Boraginaceae,Cordia collacocca,-2.34 ,3.72 ,0.92 ,51.09 ,,8.00 ,3.533333341,27.13 ,1881.00 ,1.120002773,1.0285,80.99241975,87.04317805,21.69999886,2,10°21' N,85°21' W,"Choat, 2007, New Phytologist",the Pacific northwest of Costa Rica,Costa Rica
N32,Ang,Boraginaceae,Cordia colococca,,4.12 ,0.65 ,,0.56 ,,3.533333381,26.60 ,1633.00 ,1.163631518,1.0017,80.14568299,93.82169736,21.43599892,2,10°43?31.39?N,85°35?46.99?W,"Vargas, 2021, New Phytologist",Horizontes,Costa Rica
431 ,Ang,Boraginaceae,Cordia cymosa,-1.20 ,7.81 ,2.52 ,46.40 ,,10.00 ,2.175000002,26.04 ,3720.00 ,0.728395121,2.5413,78.89437146,37.30306704,20.89599991,131,10°25' N,84° W,"Choat, 2007, New Phytologist",the Caribbean slopes of Costa Rica,Costa Rica
427 ,Ang,Boraginaceae,Cordia dentata,-3.60 ,1.50 ,0.61 ,51.90 ,,7.00 ,3.533333341,27.13 ,1881.00 ,1.120002773,1.0285,80.99241975,87.04317805,21.69999886,2,10°21' N,85°21' W,"Choat, 2007, New Phytologist",the Pacific northwest of Costa Rica,Costa Rica
1636 ,Ang,Boraginaceae,Cordia elaeagnoides,,5.76 ,,71.45 ,0.54 ,,2.533333361,25.07 ,999.00 ,NA,0.4434,207.0734595,111.2129666,17.13199997,2,19°29'N,105°02'W,"Mendez-Alonzo, 2013, Trees-Strucyture and Function",the Pacific coast of Jalisco,Mexico
428 ,Ang,Boraginaceae,Cordia inermis,,1.84 ,0.73 ,33.76 ,,3.00 ,3.533333341,27.13 ,1881.00 ,1.120002773,1.0285,80.99241975,87.04317805,21.69999886,2,10°21' N,85°21' W,"Choat, 2007, New Phytologist",the Pacific northwest of Costa Rica,Costa Rica
433 ,Ang,Boraginaceae,Cordia lasiocalyx,-2.57 ,3.76 ,1.96 ,49.46 ,,6.00 ,1.608333349,26.51 ,2440.00 ,0.651162324,1.8771,63.25839735,64.44993932,22.71999931,16,9°10' N,79°51' W,"Choat, 2007, New Phytologist",Barro Colorado Island (BCI),Panama
432 ,Ang,Boraginaceae,Cordia lucidula,-1.58 ,3.32 ,1.15 ,43.75 ,,6.00 ,2.175000002,26.04 ,3720.00 ,0.728395121,2.5413,78.89437146,37.30306704,20.89599991,131,10°25' N,84° W,"Choat, 2007, New Phytologist",the Caribbean slopes of Costa Rica,Costa Rica
1232 ,Ang,Boraginaceae,Cordia oncocalyx,-1.65 ,,,,0.55 ,,1.950000008,26.56 ,879.00 ,1.02707824,0.5112,59.08015702,114.9634108,20.78000069,2,3°47'S,39°16'W,"Lima, 2018, New Phytologist",northeastern Brazil,Brazil
434 ,Ang,Boraginaceae,Cordia panamensis,-2.33 ,11.63 ,1.59 ,55.38 ,,10.00 ,1.608333349,26.51 ,2440.00 ,0.651162324,1.8771,63.25839735,64.44993932,22.71999931,16,9°10' N,79°51' W,"Choat, 2007, New Phytologist",Barro Colorado Island (BCI),Panama
N33,Ang,Boraginaceae,Cordia panamensis,,,,,0.38 ,,3.533333381,26.60 ,1633.00 ,1.163631518,1.0017,80.14568299,93.82169736,21.43599892,2,10°43?31.39?N,85°35?46.99?W,"Vargas, 2021, New Phytologist",Horizontes,Costa Rica
429 ,Ang,Boraginaceae,Cordia pringle,,2.27 ,0.66 ,38.29 ,,2.00 ,3.533333341,27.13 ,1881.00 ,1.120002773,1.0285,80.99241975,87.04317805,21.69999886,2,10°21' N,85°21' W,"Choat, 2007, New Phytologist",the Pacific northwest of Costa Rica,Costa Rica
565 ,Ang,Boraginaceae,Cordia trichotoma,,,,,0.59 ,,2.425000012,20.61 ,1758.00 ,0.818603122,1.0689,358.7544802,17.00330333,9.584000587,107,25°42'S,54°29'W,"di Francescantonio, 2020, Fuctional Plant Biology",Misiones province,Argentina
1233 ,Ang,Boraginaceae,Cordia trichotoma,,,,,0.55 ,,1.950000008,26.56 ,879.00 ,1.02707824,0.5112,59.08015702,114.9634108,20.78000069,2,3°47'S,39°16'W,"Lima, 2018, New Phytologist",northeastern Brazil,Brazil
2386 ,Ang,Boraginaceae,Cordia trichotoma,,0.84 ,0.79 ,,0.59 ,24.80 ,2.366666635,20.36 ,1765.00 ,0.818603122,1.0864,359.0264792,17.9971639,9.279999733,110,25°37'S,54°20'W,"Villagra, 2012, Tree Physiology; Carrasco, 2013, Acta Horticultrae",northern Argentina,Argentina
960 ,Ang,Fabaceae,Corethrodendron fruticosum,-1.45 ,5.94 ,0.34 ,,,1.00 ,3.033333341,6.74 ,396.00 ,0.919943515,0.3816,1325.329171,110.4624384,-18.35199928,3,43°01'N,119°43'E,"Guo, 2020, Land Degradation & Development",Inner Mongolia,China
1347 ,Ang,Fabaceae,Corethrodendron fruticosum,,5.52 ,0.44 ,,0.61 ,1.00 ,3.033333321,6.98 ,403.00 ,0.919943515,0.3812,1312.006948,111.2644035,-17.76000023,2,43°02'N,119°39'E,"Liu, 2019, Science Advances",Inner Mongolia,China
2685 ,Ang,Coriariaceae,Coriaria nepalensis,,0.78 ,0.83 ,,0.54 ,,1.649999996,12.79 ,928.00 ,6.066549556,0.8259,567.4750116,90.2711391,-1.203999996,9,29°39'N,102°06'E,"Xu, 2020, New Phytologist",Sichuan province,China
3186 ,Ang,Coriariaceae,Coriaria nepalensis,,1.71 ,0.64 ,,0.54 ,,1.708333333,15.31 ,1184.00 ,0.558582058,1.1298,632.1588893,75.233605,1.911999941,18,26°15'N,105°80'E,"???, 2020, 2021; This study",Guizhou Province,China
2664 ,Ang,Cornaceae,Cornus controversa,,2.92 ,0.99 ,,0.46 ,,1.908333331,7.08 ,884.00 ,6.066549556,0.9004,638.6576091,89.54447083,-7.079999924,8,29°35'N,102°03'E,"Xu, 2020, New Phytologist",Sichuan province,China
578 ,Ang,Cornaceae,Cornus florida,-3.90 ,1.15 ,0.25 ,31.00 ,,5.35 ,2.408333331,14.77 ,1168.00 ,0.832321853,0.9195,792.8330532,10.80886819,-2.828000069,80,35°58' N,79°08' W,"Domec, 2010, Tree Physiology",North Carolina,USA
1407 ,Ang,Cornaceae,Cornus florida,-5.84 ,0.15 ,0.76 ,26.51 ,0.61 ,,2.424999982,14.90 ,1150.00 ,0.80813385,0.9145,796.7224354,11.37109856,-2.828000069,79,36°01' N,78°59' W,"Maherali, 2006, Plant, Cell and Environment",North Carolina,USA
2403 ,Ang,Cornaceae,Cornus stolonifera,,0.29 ,0.48 ,,,,2.083333304,4.38 ,623.00 ,0.440778781,0.7914,893.3477051,24.3006326,-15.5880003,33,53°45' N,122°42' W,"Wang, 2005,  Can. J. For. Res.","Prince George, British Columbia",Canada
2769 ,Ang,Cornaceae,Cornus walteri,,,0.82 ,20.26 ,,,2.141666661,9.62 ,592.00 ,0.661215941,0.635,902.384731,79.18673104,-9.227999687,4,35°09'N,108°45'E,"Yin, 2019, Forests",Shaanxi Province,China
1278 ,Ang,Hamamelidaceae,Corylopsis glandulifera,,1.06 ,,,0.44 ,,2.383333345,16.19 ,1749.00 ,0.606894284,1.7554,831.410251,57.04453011,1.052000046,44,29°15' N,118°07' E,"Liu, 2016, Ecology",Zhejiang province,China
456 ,Ang,Betulaceae,Corylus avellana,-2.22 ,,,,,,3.283333341,9.55 ,707.00 ,0.562120773,0.9201,581.9455584,27.5665858,-3.023999929,37,45°43'N,3°03'E,"Choat, 2012, Nature",Clermont-Ferrand,France
1963 ,Ang,Betulaceae,Corylus avellana,-2.86 ,,,,0.52 ,,2.224999984,13.22 ,1284.00 ,0.550608952,1.2953,680.3336276,20.82444629,0.263999999,70,45°38'N,13°48''E,"Savi, 2019, Tree Physiology",Trieste,Italy
1123 ,Ang,Betulaceae,Corylus cornuta,-3.00 ,2.33 ,,26.13 ,0.38 ,,3.016666651,11.50 ,1149.00 ,0.625423791,1.0636,542.7125704,69.0872453,-2.176000118,15,44°38'N,123°18'W,"Johnson, 2012, Plant, Cell & Environment; McCulloh, 2015, Tree Physiology","Corvallis, Oregon",USA
2665 ,Ang,Betulaceae,Corylus ferox,,2.83 ,1.17 ,,0.42 ,,1.908333331,7.08 ,884.00 ,6.066549556,0.9004,638.6576091,89.54447083,-7.079999924,8,29°35'N,102°03'E,"Xu, 2020, New Phytologist",Sichuan province,China
2770 ,Ang,Betulaceae,Corylus heterophylla,,,0.92 ,18.15 ,,,2.141666661,9.62 ,592.00 ,0.661215941,0.635,902.384731,79.18673104,-9.227999687,4,35°09'N,108°45'E,"Yin, 2019, Forests",Shaanxi Province,China
896 ,Ang,Myrtaceae,Corymbia citriodora,,11.91 ,1.03 ,38.97 ,0.61 ,21.00 ,3.433333337,20.90 ,1400.00 ,1.018901775,0.7223,326.6472719,92.01642804,9.711999893,18,18°18' S,145°30' E,"Gleason, 2012, Functional Ecology; Blackman, 2014, Annals of Botany; Blackman, 2018, Annals of Botany","Einasleigh, northern queensland",Australia
1919 ,Ang,Myrtaceae,Corymbia erythrophloia,-1.64 ,,,,,,2.533333341,23.42 ,709.00 ,1.334543081,0.4326,373.6157653,86.47793665,10.9279995,9,20°06' S,146°53' E,"Rice, 2004, Oecologia","Ravenswood, Queensland",Australia
889 ,Ang,Myrtaceae,Corymbia gummifera,,6.15 ,0.61 ,33.15 ,0.58 ,,3.599999984,16.97 ,1253.00 ,0.716941494,1.0326,385.0362387,28.74867037,6.596000195,61,33°41' S,151°09' E,"Gleason, 2012, Functional Ecology; Blackman, 2014, Annals of Botany","New South Wales, Eastern Australia",Australia
817 ,Ang,Myrtaceae,Corymbia intermedia,,3.61 ,0.89 ,37.32 ,0.60 ,20.00 ,4.891666691,23.63 ,2084.00 ,0.865874479,1.3729,289.0695581,88.38712088,14.96000004,29,18°24' S,146°6' E,"Gleason, 2012, Functional Ecology",Queensland,Australia
872 ,Ang,Myrtaceae,Corymbia intermedia,,9.06 ,1.14 ,30.52 ,0.65 ,20.00 ,3.433333337,20.90 ,1400.00 ,1.018901775,0.7223,326.6472719,92.01642804,9.711999893,18,18°18' S,145°30' E,"Gleason, 2012, Functional Ecology; Blackman, 2014, Annals of Botany","Einasleigh, northern queensland",Australia
1712 ,Ang,Myrtaceae,Corymbia opaca,,,0.83 ,,0.57 ,,3.12500002,23.21 ,277.00 ,2.526789455,0.1695,589.9941601,61.72656309,6.611999989,7,21°54'S,133°51'E,"O'Grady, 2009, Oecologia",,Australian
797 ,Ang,Myrtaceae,Corymbia polycarpa,,8.37 ,0.94 ,40.05 ,0.58 ,15.00 ,2.391666681,26.83 ,687.00 ,2.472404017,0.3277,380.6304795,119.4832856,13.63599968,1,18°43' S,141°50' E,"Gleason, 2012, Functional Ecology",Carpentaria,Australia
873 ,Ang,Myrtaceae,Corymbia trachyphloia,,8.03 ,0.87 ,34.39 ,0.63 ,15.00 ,3.433333337,20.90 ,1400.00 ,1.018901775,0.7223,326.6472719,92.01642804,9.711999893,18,18°18' S,145°30' E,"Gleason, 2012, Functional Ecology; Blackman, 2014, Annals of Botany","Einasleigh, northern queensland",Australia
723 ,Ang,Rubiaceae,Cosmibuena valerii,,0.39 ,0.10 ,,,,3.549999992,18.76 ,2460.00 ,0.679743024,2.1332,77.121891,75.74682369,13.0880003,23,10°12' N,84°42' W,"Feild & Holbrook, 2000, Plant, Cell and Environment",La Reserva Bosque Nuboso de Monteverde,Costa Rica
404 ,Ang,Anacardiaceae,Cotinus coggygria,-3.71 ,2.95 ,0.34 ,26.90 ,0.57 ,,2.791666687,12.90 ,750.00 ,0.833278615,0.7018,1029.416139,109.3542796,-7.93599987,8,35°46'N,117°47'E,"Chen, 2019, 2020, 2021, Tree Physiology","Xintai, Shandong province",China
1964 ,Ang,Anacardiaceae,Cotinus coggygria,-2.64 ,,,,0.57 ,,2.224999984,13.22 ,1284.00 ,0.550608952,1.2953,680.3336276,20.82444629,0.263999999,70,45°38'N,13°48''E,"Savi, 2019, Tree Physiology",Trieste,Italy
2771 ,Ang,Rosaceae,Cotinus coggygria,,,0.37 ,23.29 ,,,2.141666661,9.62 ,592.00 ,0.661215941,0.635,902.384731,79.18673104,-9.227999687,4,35°09'N,108°45'E,"Yin, 2019, Forests",Shaanxi Province,China
2525 ,Ang,Rosaceae,Cotoneaster bullatus,,1.59 ,1.09 ,,0.64 ,,2.433333337,5.86 ,847.00 ,15.35548757,1.0344,601.2807223,94.0150966,-7.832000256,5,29°27'N,101°53'E,"Xu, 2020, New Phytologist",Sichuan province,China
2566 ,Ang,Rosaceae,Cotoneaster bullatus,,1.80 ,0.58 ,,0.55 ,,2.299999972,0.78 ,828.00 ,15.35548757,0.9958,691.690106,92.74818783,-13.50800037,4,29°22'N,101°55'E,"Xu, 2020, New Phytologist",Sichuan province,China
2601 ,Ang,Rosaceae,Cotoneaster bullatus,,1.13 ,1.00 ,,0.59 ,,2.324999978,0.75 ,846.00 ,38.61108759,1.0448,647.250795,90.57201924,-13,7,29°34'N,102°00'E,"Xu, 2020, New Phytologist",Sichuan province,China
2452 ,Ang,Rosaceae,Cotoneaster dielsianus,,0.45 ,0.52 ,,0.58 ,,2.308333327,5.61 ,751.00 ,2.957267348,0.6981,607.8590627,99.25253833,-9.423999786,2,29°23'N,101°01'E,"Xu, 2020, New Phytologist",Sichuan province,China
2686 ,Ang,Rosaceae,Cotoneaster dielsianus,,0.63 ,0.29 ,,0.68 ,,1.649999996,12.79 ,928.00 ,6.066549556,0.8259,567.4750116,90.2711391,-1.203999996,9,29°39'N,102°06'E,"Xu, 2020, New Phytologist",Sichuan province,China
2772 ,Ang,Rosaceae,Cotoneaster melanocarpus,,,0.21 ,11.13 ,,,2.141666661,9.62 ,592.00 ,0.661215941,0.635,902.384731,79.18673104,-9.227999687,4,35°09'N,108°45'E,"Yin, 2019, Forests",Shaanxi Province,China
2773 ,Ang,Rhamnaceae,Cotoneaster multiflorus,,,,13.86 ,,,2.141666661,9.62 ,592.00 ,0.661215941,0.635,902.384731,79.18673104,-9.227999687,4,35°09'N,108°45'E,"Yin, 2019, Forests",Shaanxi Province,China
2472 ,Ang,Rosaceae,Cotoneaster tenuipes,,,0.21 ,,,,2.391666641,2.43 ,759.00 ,0.389803522,0.8267,661.8772376,97.80626751,-11.29199982,2,29°33'N,101°23'E,"Xu, 2020, New Phytologist",Sichuan province,China
2325 ,Ang,Dipterocarpaceae,Cotylelobium burckii,-0.45 ,,,,,,1.808333327,27.33 ,3096.00 ,0.808628976,2.0808,45.1874726,24.42523653,22.56800079,192,4°34' N,114°25' E,"Tyree, 1998, Tree Physiology",Badas,Brunei
736 ,Ang,Chrysobalanaceae,Couepia longipendula,-2.59 ,,,,,,1.166666687,26.44 ,2352.00 ,0.788916395,1.4252,44.22227014,42.47501585,21.47200012,81,2°37'S,60°13'W,"Fontes, 2020, New Phytologist",Reserva Biol ogica do Cuieiras (ZF-2),Brazil
2033 ,Ang,Fabaceae,Coursetia arborea,-2.42 ,1.26 ,1.23 ,,,,2.308333337,22.92 ,1162.00 ,0.859320757,0.694,73.08045044,62.82491845,17.07600021,18,10°15' N,67°03' W,"Sobrado, 1997, Acta Ecologica",Estado Miranda,Venezuela
151 ,Ang,Rubiaceae,Coussarea albescens,-4.86 ,,,,,,1.341666689,26.36 ,1934.00 ,0.636951369,1.3225,59.60847558,71.64908622,21.23999977,32,2°31'S,54°35'W,"Barros, 2019, New Phytologist","Manaus, Amazonas",Brazil
2189 ,Ang,Ericaceae ,Craibiodendron scleranthum var. kwangtungense,-2.18 ,0.88 ,0.38 ,,0.49 ,11.50 ,1.87499999,20.60 ,1835.00 ,0.759396395,1.3895,565.6792834,66.92045161,8.623999596,37,23°10' N,112°32' E,"This study; Zhu, 2013, Plant, Cell & Environment; Zhu, 2018, Tree Physiology",Guangdong Province,China
2774 ,Ang,Rosaceae,Crataegus hupehensis,,,0.43 ,18.65 ,,,2.141666661,9.62 ,592.00 ,0.661215941,0.635,902.384731,79.18673104,-9.227999687,4,35°09'N,108°45'E,"Yin, 2019, Forests",Shaanxi Province,China
2775 ,Ang,Rosaceae,Crataegus kansuensis,,,0.60 ,,,,2.141666661,9.62 ,592.00 ,0.661215941,0.635,902.384731,79.18673104,-9.227999687,4,35°09'N,108°45'E,"Yin, 2019, Forests",Shaanxi Province,China
457 ,Ang,Rosaceae,Crataegus laevigata,-8.41 ,,,,,,3.283333341,9.55 ,707.00 ,0.562120773,0.9201,581.9455584,27.5665858,-3.023999929,37,45°43'N,3°03'E,"Choat, 2012, Nature",Clermont-Ferrand,France
1351 ,Ang,Rosaceae,Crataegus maximowiczii,,1.51 ,0.32 ,,0.90 ,3.77 ,1.833333333,3.27 ,661.00 ,0.432660541,0.8044,1257.058799,95.56655616,-21.12800026,5,42°24'N,128°29'E,"Liu, 2019, Science Advances",Jilin Province,China
1982 ,Ang,Rosaceae,Crataegus monogyna,-4.81 ,,,,0.86 ,,3.125,9.76 ,583.00 ,0.605816588,0.7281,745.6629679,28.56675466,-5.191999912,30,48°14'N,16°20'E,"Savi, 2019, Tree Physiology",Vienna,Austria
2190 ,Ang,Hypericaceae,Cratoxylum cochinchinense,-0.83 ,3.28 ,1.12 ,,0.58 ,18.00 ,1.87499999,20.60 ,1835.00 ,0.759396395,1.3895,565.6792834,66.92045161,8.623999596,37,23°10' N,112°32' E,"This study; Zhu, 2013, Plant, Cell & Environment; Zhu, 2018, Tree Physiology",Guangdong Province,China
1637 ,Ang,Boraginaceae,Crescentia alata,,0.14 ,,45.56 ,0.68 ,,2.533333361,25.07 ,999.00 ,NA,0.4434,207.0734595,111.2129666,17.13199997,2,19°29'N,105°02'W,"Mendez-Alonzo, 2013, Trees-Strucyture and Function",the Pacific coast of Jalisco,Mexico
N34,Ang,Bignoniaceae,Crescentia alata,,,,,0.55 ,,3.533333381,26.60 ,1633.00 ,1.163631518,1.0017,80.14568299,93.82169736,21.43599892,2,10°43?31.39?N,85°35?46.99?W,"Vargas, 2021, New Phytologist",Horizontes,Costa Rica
N6,Ang,Celastraceae,Crossopetalum rhacoma,,0.52 ,,,0.84 ,,3.99999994,26.07 ,939.00 ,NA,0.7402,130.6923339,58.51883815,19.67916679,26,17°58?2.17?N,66°53?17.54?W,"Vargas, 2021, New Phytologist",Guanica,Puerto Rico
2366 ,Ang,Euphorbiaceae ,Croton billbergianus,-0.61 ,14.42 ,0.60 ,,,,1.650000006,26.79 ,2330.00 ,0.716664737,1.3739,67.82329313,69.04398102,22.50799942,19,9°10'N,79°07'W,"van der Sande, 2013, Oecologia",Isthmus of Panama,Panama
1234 ,Ang,Euphorbiaceae,Croton blanchetianus,,,,,0.62 ,,1.950000008,26.56 ,879.00 ,1.02707824,0.5112,59.08015702,114.9634108,20.78000069,2,3°47'S,39°16'W,"Lima, 2018, New Phytologist",northeastern Brazil,Brazil
613 ,Ang,Euphorbiaceae,Croton celtidifolius,-2.00 ,,,,0.35 ,13.80 ,2.316666623,12.79 ,1908.00 ,0.576561968,1.778,299.2870573,65.81115372,1.95599997,37,22°42' S,45°25' W,"Eller, 2018, Plant, Cell and environment",SP,Brazil
2921 ,Ang,Euphorbiaceae ,Croton crassifolius,-1.60 ,4.07 ,0.99 ,,0.63 ,6.00 ,1.450000008,19.61 ,1575.00 ,0.7831742,1.2463,355.3021639,76.07293498,9.543999672,18,21°54'N,101°46'E,"Zhu, 2017, Tree Physiology; Tan, 2020, Agricultural and Forest Meteorology",Yunnan province,China
3018 ,Ang,Euphorbiaceae,Croton crassifolius,-1.44 ,,,,,,1.225000014,22.42 ,1640.00 ,0.894353661,0.8598,350.4611648,75.65033519,11.8760004,18,21°55'N,101°16'E,"Zhu, 2018, Tree Physiology; Yan, 2020, Biology Letters",Yuanan province,China
